question,key,o1,o2,o3,o4
this is question 1,4, this is option 1, this is option 2, this is option 3, this is option 4
question 2,2, this is option 1, this is option 2, this is option 3, this is option 4
here is question 3,3, this is option 1, this is option 2, this is option 3, this is option 4
q4,1, this is option 1, this is option 2, this is option 3, this is option 4
question 5,3, this is option 1, this is option 2, this is option 3, this is option 4
question 6,4, this is option 1, this is option 2, this is option 3, this is option 4
question 7,1, this is option 1, this is option 2, this is option 3, this is option 4
question 8,3, this is option 1, this is option 2, this is option 3, this is option 4
question 9,2, this is option 1, this is option 2, this is option 3, this is option 4
question 10,2, this is option 1, this is option 2, this is option 3, this is option 4
